中国語 AQリスニング,FAMILY,NaN,21,17M,"5,000+",Free,0,Everyone,Education,"June 22, 2016",2.4.0,4.0 and up
BL 女性向け恋愛ゲーム◆俺プリクロス,FAMILY,4.2,3379,62M,"100,000+",Free,0,Mature 17+,Simulation,"March 23, 2017",1.6.3,2.3.3 and up
SecondSecret ‐「恋を読む」BLノベルゲーム‐,GAME,4.4,1563,40M,"50,000+",Free,0,Teen,Adventure,"June 29, 2017",1.3.6,4.0 and up
BL 女性向け恋愛ゲーム◆ごくメン,FAMILY,4.2,1901,8.2M,"100,000+",Free,0,Mature 17+,Simulation,"July 7, 2016",1.3.0,2.3.3 and up
あなカレ【BL】無料ゲーム,FAMILY,4.7,6073,8.5M,"100,000+",Free,0,Mature 17+,Simulation,"February 25, 2018",4.2.2,2.3 and up
CK 初一 十五,LIFESTYLE,4.0,294,153k,"10,000+",Free,0,Everyone,Lifestyle,"July 3, 2013",1.0.12,2.1 and up
DF 司機,MAPS_AND_NAVIGATION,NaN,9,9.9M,500+,Free,0,Everyone,Maps & Navigation,"August 6, 2018",13.0.0,5.0 and up
RPG ブレイジング ソウルズ アクセレイト,FAMILY,3.4,159,3.1M,"1,000+",Paid,$10.99,Teen,Role Playing,"April 26, 2018",2.12,2.3 and up
ECナビ×シュフー,LIFESTYLE,4.0,576,7.4M,"50,000+",Free,0,Everyone,Lifestyle,"June 7, 2018",1.0.2,4.0 and up
パーリーゲイツ公式通販｜EJ STYLE（イージェイスタイル）,SHOPPING,NaN,1,9.3M,100+,Free,0,Everyone,Shopping,"November 16, 2017",3.0,4.0.3 and up
