Mayo Clinic,MEDICAL,4.3,2218,Varies with device,"500,000+",Free,0,Everyone,Medical,"August 1, 2018",Varies with device,Varies with device
Telemundo Deportes - Live,SPORTS,4.5,36255,25M,"1,000,000+",Free,0,Everyone,Sports,"August 1, 2018",5.10.5,4.1 and up
"Univision Deportes: Liga MX, MLS, Fútbol Live",SPORTS,4.2,75545,Varies with device,"5,000,000+",Free,0,Everyone,Sports,"July 23, 2018",Varies with device,Varies with device
My Telcel,TOOLS,3.1,45838,16M,"50,000,000+",Free,0,Everyone,Tools,"July 25, 2018",7.6.1,4.1 and up
Hay Day,FAMILY,4.5,10053186,94M,"100,000,000+",Free,0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up
Verdad o Reto,SOCIAL,3.8,826,5.1M,"500,000+",Free,0,Teen,Social,"May 10, 2018",2.0,4.1 and up
Ah Bailar,FAMILY,NaN,10,3.0M,100+,Free,0,Everyone,Entertainment,"April 14, 2018",1.0,5.0 and up
MARCA - Diario Líder Deportivo,SPORTS,3.9,76340,14M,"5,000,000+",Free,0,Everyone,Sports,"July 25, 2018",6.3.3,4.1 and up
"AS - Diario online deportivo. Fútbol, motor y más",NEWS_AND_MAGAZINES,NaN,0,6.0M,50+,Free,0,Everyone,News & Magazines,"June 24, 2018",7.8,4.1 and up
AS Guía de las Ligas 2017-2018,SPORTS,4.1,4374,53M,"100,000+",Free,0,Everyone,Sports,"September 14, 2017",1.0.10,4.1 and up
BG Torneos,SPORTS,NaN,7,2.3M,100+,Free,0,Everyone,Sports,"June 13, 2018",2.0.0,4.1 and up
B y H Niños ES,BOOKS_AND_REFERENCE,4.6,53,16M,"5,000+",Free,0,Everyone,Books & Reference,"September 22, 2015",1.0.2,2.3 and up
Bi en Línea,FINANCE,4.0,5055,17M,"100,000+",Free,0,Everyone,Finance,"March 5, 2018",4.4.1,4.4 and up
BI-LO,LIFESTYLE,3.5,43,30M,"10,000+",Free,0,Everyone,Lifestyle,"July 11, 2018",2.0.0,4.1 and up
BN Más Cerca de Usted,FINANCE,3.9,8185,45M,"500,000+",Free,0,Everyone,Finance,"July 6, 2018",5.1,4.4 and up
Casa de Bolsa Bx+ Móvil,FINANCE,3.4,5,8.8M,500+,Free,0,Everyone,Finance,"July 18, 2017",1.0.7,4.0 and up
Chat Anónimo Gratis Español CG,DATING,3.5,69,4.0M,"5,000+",Free,0,Everyone,Dating,"July 10, 2017",1.0.2,2.3 and up
Noticias DF,SOCIAL,NaN,2,2.3M,"1,000+",Free,0,Everyone,Social,"May 25, 2015",1.0,2.3 and up
Diseño de columnas NTC - RSEE 2017,PRODUCTIVITY,NaN,6,2.8M,100+,Paid,$0.99,Everyone,Productivity,"March 26, 2018",2.0,4.1 and up
Maher EL Mouaikly - Offline,FAMILY,4.6,166,2.6M,"10,000+",Free,0,Everyone,Entertainment,"May 24, 2017",1.1.0,3.1 and up
News: DW Español,NEWS_AND_MAGAZINES,4.3,25,6.3M,"1,000+",Free,0,Everyone,News & Magazines,"April 26, 2018",1.0,4.1 and up
E.F.JUVENTUD MADRID,SPORTS,NaN,3,5.3M,100+,Free,0,Everyone,Sports,"July 13, 2017",1.1,4.0.3 and up
El Nuevo Día,NEWS_AND_MAGAZINES,4.1,8011,13M,"500,000+",Free,0,Everyone 10+,News & Magazines,"June 13, 2018",4.11.2,4.1 and up
EL NORTE,NEWS_AND_MAGAZINES,3.4,2436,Varies with device,"100,000+",Free,0,Everyone,News & Magazines,"June 26, 2018",Varies with device,Varies with device
El Nueve,NEWS_AND_MAGAZINES,NaN,221,3.2M,"50,000+",Free,0,Teen,News & Magazines,"October 16, 2017",1.1.3,4.0.3 and up
El Falı,FAMILY,4.8,36968,16M,"1,000,000+",Free,0,Everyone,Entertainment,"November 3, 2017",1.2.9,2.3 and up
El Dorado App,TRAVEL_AND_LOCAL,4.4,221,33M,"10,000+",Free,0,Everyone,Travel & Local,"April 6, 2018",2.4,4.1 and up
Adivina el cantante de Trap y Reggaeton,GAME,4.5,1914,24M,"100,000+",Free,0,Everyone,Trivia,"June 29, 2018",3.6.7z,4.0.3 and up
Adivina el Emoji,GAME,NaN,2536,32M,"100,000+",Free,0,Everyone,Trivia,"October 2, 2016",1.00,4.0.3 and up
Telemundo Deportes - En Vivo,SPORTS,4.5,36255,25M,"1,000,000+",Free,0,Everyone,Sports,"August 1, 2018",5.10.5,4.1 and up
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",SPORTS,4.2,75566,Varies with device,"5,000,000+",Free,0,Everyone,Sports,"July 23, 2018",Varies with device,Varies with device
EP Kalkulator el. energije,TOOLS,4.4,13,1.5M,100+,Free,0,Everyone,Tools,"February 20, 2015",4.0,4.0 and up
Esto Es Guerra TVN,FAMILY,4.5,1303,13M,"100,000+",Free,0,Everyone,Entertainment,"July 24, 2018",1.7.2,4.1 and up
Barcelona FC Noticias Live,NEWS_AND_MAGAZINES,NaN,2,3.6M,500+,Free,0,Everyone,News & Magazines,"February 4, 2018",2.0,4.0.3 and up
Noticias FC Barcelona,NEWS_AND_MAGAZINES,5.0,4,3.1M,100+,Free,0,Everyone,News & Magazines,"June 15, 2018",1.3,4.4 and up
